File Name,Label
FAIRCheckerSupportingDigitalResourceFindabilityReuse,Belongs
FairnessAndBiasInMultimodalAI,Belongs
AFrameworkForFairness,Belongs
AlgorithmicFairnessDatasetsTheStorySoFar,Belongs
ASearchEngineForAlgorithmicFairnessDatasets,Belongs
ASystematicReviewOfFairnessAccountabilityTransparencyAndEthicsInInformationRetrieval,Belongs
ConceptualFrameworkForEvaluatingFairnessInSearch,Belongs
ControllingFairnessAndBiasInDynamicLearningToRank,Belongs
EnhancingFairnessAndPrivacyInSearchSystems,Belongs
EvaluationMetricsForBiasInSearchEngineResults,Belongs
FairnessInOnlineJobs_TaskRabbitAndGoogle,Belongs
FairnessInRankingsAndRecommendations,Belongs
FairnessAndBiasOfMachineLearningInSearchAndRanking,Belongs
FairnessAndDiscriminationInRecommendationAndRetrieval,Belongs
FairnessAndDiscriminationInRetrievalAndRecommendation,Belongs
FairnessAndDiversityInInformationAccessSystems,Belongs
FAIRnessAndUsabilityForOpenAccessOmicsDataSystems,Belongs
FairnessBasedEvaluationOfConversationalSearch,Belongs
FairnessInImageSearch,Belongs
FairnessInOnlineAdDelivery,Belongs
FairnessInRankingsAndRecommenders,Belongs
FairnessInRankingUnderDisparateUncertainty,Belongs
FairnessOfExposureInRankings,Belongs
FairnessViaAIInMedicalInformation,Belongs
FairnessVsPersonalizationTowardsEquityInEpistemicUtility,Belongs
FairSearchFairnessInRankedSearchResults,Belongs
FAIRshakeToolkitToEvaluateFAIRnessOfResearchResources,Belongs
FARA_FutureAwareRankingAlgorithmForFairnessOptimization,Belongs
FrameworkForAlgorithmicFairnessInInformationAccess,Belongs
GoogleTopStoriesAndTheFairnessDoctrine,Belongs
NeutralityFairnessOrFreedomPrinciplesForPlatformRegulation,Belongs
PairwiseFairnessInRankingAsDissatisfactionMeasure,Belongs
PublicPerceptionOfAlgorithmicFairness,Belongs
QueryMarketDoubleAuctionForWebOfData,Belongs
RankingForIndividualAndGroupFairness,Belongs
RankingWithFairnessConstraints,Belongs
HasCEOGenderBiasReallyBeenFixed,Belongs
ImpactOfGenderOnRankInResumeSearchEngines,Belongs
IsRelevanceRelevantSearchEngineQuality,Belongs
NetworkNeutralityAndSearchNeutrality,Belongs
ResearchOnReliabilityAndFairnessOfOpinionRetrievalInPublicTopics,Belongs
SearchResultsDiversificationForEffectiveFairRanking,Belongs
StabilityAndMultigroupFairnessInRanking,Belongs
SubvertingFairImageSearchWithGenerativeAdversarialPerturbations,Belongs
TowardTwoSidedFairnessInSearchAndRecommendation,Belongs
TransparencyFairnessDataProtectionNeutrality,Belongs
UNFairSearchEngineManipulation,Belongs
UniversityGovernanceForResponsibleAI,Belongs
VoterCenteredAuditsOfSearchEngines,Belongs
WhichStereotypesAreModeratedInAutocompletion,Belongs
